文件路径,识别结果,位置,置信度,用时
32-暴力行为检测.mp4,暴力倾向,"[205, 33, 452, 640]",0.7388932704925537,0.018002748489379883
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7459137439727783,0.016896486282348633
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7459554672241211,0.019000530242919922
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7419984936714172,0.015016317367553711
32-暴力行为检测.mp4,暴力倾向,"[205, 31, 452, 640]",0.7452184557914734,0.017000436782836914
32-暴力行为检测.mp4,暴力倾向,"[205, 31, 452, 640]",0.7453745603561401,0.02100205421447754
32-暴力行为检测.mp4,暴力倾向,"[205, 33, 452, 640]",0.7369577884674072,0.021999359130859375
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7430626749992371,0.020004987716674805
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7430698275566101,0.023000717163085938
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7398214340209961,0.016998767852783203
32-暴力行为检测.mp4,暴力倾向,"[205, 31, 452, 640]",0.7441388964653015,0.015000581741333008
32-暴力行为检测.mp4,暴力倾向,"[205, 31, 452, 640]",0.7446614503860474,0.016000747680664062
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7431973218917847,0.015998363494873047
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7436320185661316,0.015999794006347656
32-暴力行为检测.mp4,暴力倾向,"[205, 32, 452, 640]",0.7386091351509094,0.017436981201171875
32-暴力行为检测.mp4,暴力倾向,"[206, 19, 452, 640]",0.7265989780426025,0.01799631118774414
32-暴力行为检测.mp4,暴力倾向,"[205, 7, 456, 640]",0.7687325477600098,0.018013954162597656
32-暴力行为检测.mp4,暴力倾向,"[199, 10, 466, 639]",0.6843368411064148,0.021997690200805664
32-暴力行为检测.mp4,暴力倾向,"[179, 8, 487, 640]",0.8451296091079712,0.018999099731445312
32-暴力行为检测.mp4,暴力倾向,"[136, 8, 528, 640]",0.8379497528076172,0.018001317977905273
32-暴力行为检测.mp4,暴力倾向,"[134, 6, 597, 640]",0.5902789235115051,0.016000032424926758
32-暴力行为检测.mp4,暴力倾向,"[175, 1, 629, 628]",0.5939340591430664,0.017000198364257812
